        dist	       Ca/Na	     Cl/S(6)	         H2S	          pH	          pe	          cb	










 2.0000e-003	 1.8725e+000	 9.3624e-001	 0.0000e+000	 6.9982e+000	 1.1110e+001	-8.5188e-011	
 6.0000e-003	 1.6128e+000	 8.0638e-001	 0.0000e+000	 6.9940e+000	 1.0953e+001	-4.4866e-011	
 1.0000e-002	 1.3533e+000	 6.7663e-001	 0.0000e+000	 6.9888e+000	 1.1152e+001	 5.0365e-011	
 1.4000e-002	 1.1023e+000	 5.5116e-001	 0.0000e+000	 6.9823e+000	 1.1208e+001	-2.0043e-012	
 1.8000e-002	 8.6799e-001	 4.3400e-001	 0.0000e+000	 6.9740e+000	 1.1170e+001	-1.3436e-012	
 2.2000e-002	 6.5687e-001	 3.2843e-001	 0.0000e+000	 6.9637e+000	 1.1120e+001	-7.9081e-013	
 2.6000e-002	 4.7269e-001	 2.3634e-001	 0.0000e+000	 6.9511e+000	 1.1226e+001	-3.9924e-013	
 3.0000e-002	 3.1560e-001	 1.5780e-001	 0.0000e+000	 6.9362e+000	 1.1311e+001	-1.5188e-013	
 3.4000e-002	 1.8217e-001	 9.1085e-002	 0.0000e+000	 6.9204e+000	 1.1392e+001	-4.0357e-014	
 3.8000e-002	 6.6881e-002	 3.3441e-002	 0.0000e+000	 6.9103e+000	 1.1334e+001	-6.1964e-015	












 2.0000e-003	 1.8021e+000	 9.0104e-001	 0.0000e+000	 7.0279e+000	 1.1504e+001	-3.8414e-014	
 6.0000e-003	 1.4182e+000	 7.0911e-001	 0.0000e+000	 7.0794e+000	 1.1430e+001	-1.1002e-013	
 1.0000e-002	 1.0681e+000	 5.3404e-001	 0.0000e+000	 7.1223e+000	 1.1363e+001	-1.6376e-013	
 1.4000e-002	 7.6771e-001	 3.8386e-001	 0.0000e+000	 7.1539e+000	 1.1308e+001	-1.9384e-013	
 1.8000e-002	 5.2536e-001	 2.6268e-001	 0.0000e+000	 7.1728e+000	 1.1271e+001	-1.9856e-013	
 2.2000e-002	 3.4134e-001	 1.7067e-001	 0.0000e+000	 7.1784e+000	 1.1251e+001	-1.8002e-013	
 2.6000e-002	 2.0955e-001	 1.0477e-001	 0.0000e+000	 7.1715e+000	 1.1242e+001	-1.4180e-013	
 3.0000e-002	 1.1978e-001	 5.9892e-002	 0.0000e+000	 7.1528e+000	 1.1251e+001	-8.7902e-014	
 3.4000e-002	 6.0047e-002	 3.0023e-002	 0.0000e+000	 7.1220e+000	 1.1269e+001	-1.8541e-014	
 3.8000e-002	 1.8067e-002	 9.0333e-003	 0.0000e+000	 7.0680e+000	 1.1316e+001	-5.0793e-015	
